Neighborhood,Acres,Employed Residents,Total K-12 Students,Total Deaths
Allegheny Center,133.719566,579.0,1389.0,46.0
Allegheny West,92.66835251,221.0,343.0,8.0
Allentown,190.07889133,841.0,2520.0,126.0
Arlington,307.18431056,991.0,1823.0,96.0
Arlington Heights,81.42957212,80.0,213.0,17.0
Banksville,625.67643177,2409.0,3787.0,253.0
Bedford Dwellings,112.43155145,248.0,1251.0,88.0
Beechview,933.88886667,4046.0,7770.0,434.0
Beltzhoover,265.85583068,866.0,1609.0,125.0
Bloomfield,449.23559615,5484.0,8498.0,394.0
Bluff,208.16719001,1690.0,6289.0,42.0
Bon Air,201.49147968,496.0,874.0,51.0
Brighton Heights,714.89430542,3805.0,7118.0,496.0
Brookline,1336.91504781,6937.0,12777.0,750.0
California-Kirkbride,138.8105677,194.0,739.0,30.0
Carrick,1068.49913476,4443.0,9825.0,678.0
Central Business District,413.20446531,2186.0,4037.0,133.0
Central Lawrenceville,614.47181156,2708.0,4653.0,358.0
Central Northside,166.19398243,1523.0,2828.0,147.0
Central Oakland,179.22977556,2974.0,5822.0,52.0
Chartiers City,85.76980109,240.0,560.0,35.0
Chateau,244.80787848,0.0,3.0,2.0
Crafton Heights,480.84267305,1811.0,3791.0,187.0
Crawford-Roberts,160.85876719,596.0,2155.0,
Duquesne Heights,396.51557922,1524.0,2387.0,134.0
East Allegheny,150.34595404,1090.0,2095.0,157.0
East Carnegie,277.41123706,340.0,592.0,27.0
East Hills,345.9566702,776.0,2716.0,177.0
East Liberty,372.08254294,2629.0,5282.0,364.0
Elliott,387.76984567,998.0,2468.0,121.0
Esplen,147.91525462,163.0,309.0,16.0
Fairywood,620.53813973,853.0,1121.0,21.0
Fineview,159.03317368,484.0,1198.0,58.0
Friendship,67.96250434,1271.0,1801.0,41.0
Garfield,292.72612537,1257.0,3775.0,198.0
Glen Hazel,292.77636784,88.0,673.0,131.0
Greenfield,495.63876528,4373.0,7402.0,337.0
Hays,1116.86260649,173.0,376.0,24.0
Hazelwood,1027.3553266,1569.0,4063.0,261.0
Highland Park,748.71045651,3523.0,6551.0,213.0
Homewood North,276.8346875,863.0,3055.0,185.0
Homewood South,247.77481235,669.0,2189.0,204.0
Homewood West,124.93008836,316.0,816.0,66.0
Knoxville,191.75977734,1743.0,3938.0,188.0
Larimer,284.9177058,348.0,1588.0,174.0
Lincoln Place,628.18080526,1653.0,3368.0,217.0
Lincoln-Lemington-Belmar,1163.58474507,1694.0,4854.0,389.0
Lower Lawrenceville,275.16424871,1472.0,2560.0,138.0
Manchester,178.5910782,892.0,1923.0,113.0
Marshall-Shadeland,802.60647233,1777.0,5912.0,252.0
Middle Hill,195.28998606,640.0,1723.0,183.0
Morningside,239.74901281,1798.0,3136.0,161.0
Mount Washington,724.81969622,4973.0,8525.0,476.0
Mt. Oliver,66.11041005,277.0,587.0,
New Homestead,505.58191193,465.0,959.0,71.0
North Oakland,318.08128336,3291.0,9565.0,279.0
North Shore,190.09475432,165.0,205.0,5.0
Northview Heights,200.83016634,232.0,1454.0,54.0
Oakwood,161.52497734,546.0,1020.0,82.0
Overbrook,535.35823494,1807.0,3597.0,289.0
Perry North,774.34430822,2021.0,3645.0,205.0
Perry South,580.06153858,1175.0,3248.0,259.0
Point Breeze,642.17104211,3226.0,5218.0,175.0
Point Breeze North,193.22923916,1069.0,1701.0,87.0
Polish Hill,163.9451111,934.0,1297.0,85.0
Regent Square,125.58002964,564.0,1009.0,28.0
Ridgemont,228.89516499,176.0,277.0,52.0
Shadyside,588.90301806,8223.0,13290.0,406.0
Sheraden,568.08512413,2190.0,5397.0,248.0
South Oakland,309.73337025,1438.0,2910.0,103.0
South Shore,147.67587999,12.0,12.0,0.0
South Side Flats,591.56268818,4396.0,6250.0,
South Side Slopes,462.75848152,2679.0,4573.0,
Spring Garden,170.94593174,414.0,809.0,67.0
Spring Hill-City View,407.1784424,886.0,2291.0,
Squirrel Hill North,782.98154712,5537.0,11072.0,242.0
Squirrel Hill South,1713.02741588,7965.0,15510.0,802.0
St. Clair,199.07579887,106.0,261.0,
Stanton Heights,472.44089125,2492.0,4561.0,278.0
Strip District,389.24067866,586.0,740.0,19.0
Summer Hill,282.81238756,640.0,1127.0,64.0
Swisshelm Park,303.09736019,656.0,1290.0,67.0
Terrace Village,207.77195592,748.0,2277.0,99.0
Troy Hill,294.98507799,1283.0,2225.0,
Upper Hill,200.44088177,669.0,1877.0,191.0
Upper Lawrenceville,258.49129917,1518.0,2662.0,119.0
West End,124.52211675,186.0,235.0,14.0
West Oakland,149.4591782,656.0,1681.0,93.0
Westwood,441.88379972,1798.0,3303.0,173.0
Windgap,266.83798748,695.0,1526.0,104.0
Mount Oliver Borough,,1214.0,3288.0,
Saint Clair,,,,10.0
Mount Oliver Neighborhood,,,,26.0
Troy Hill/Herr'S Island,,,,151.0
Spring Hill-Cityview,,,,189.0
Crawford Roberts,,,,202.0
Southside Slopes,,,,220.0
Southside Flats,,,,277.0
,,,,
*Total Includes Other And Unknown Race.,,,,
