Neighborhood,Employed Residents,K-12 Students,Employed Residents Points,K-12 Students Points
Allegheny Center,579.0,1389.0,7.0,9.0
Allegheny West,221.0,343.0,3.0,2.0
Allentown,841.0,2520.0,10.0,16.0
Arlington,991.0,1823.0,12.0,12.0
Arlington Heights,80.0,213.0,1.0,1.0
Banksville,2409.0,3787.0,29.0,24.0
Bedford Dwellings,248.0,1251.0,3.0,8.0
Beechview,4046.0,7770.0,49.0,50.0
Beltzhoover,866.0,1609.0,11.0,10.0
Bloomfield,5484.0,8498.0,67.0,55.0
Bluff,1690.0,6289.0,21.0,41.0
Bon Air,496.0,874.0,6.0,6.0
Brighton Heights,3805.0,7118.0,46.0,46.0
Brookline,6937.0,12777.0,84.0,82.0
California Kirkbride,194.0,739.0,2.0,5.0
Carrick,4443.0,9825.0,54.0,63.0
Central Business District,2186.0,4037.0,27.0,26.0
Central Lawrenceville,2708.0,4653.0,33.0,30.0
Central Northside,1523.0,2828.0,19.0,18.0
Central Oakland,2974.0,5822.0,36.0,38.0
Chartiers City,240.0,560.0,3.0,4.0
Chateau,0.0,3.0,0.0,0.0
Crafton Heights,1811.0,3791.0,22.0,24.0
Crawford Roberts,596.0,2155.0,7.0,14.0
Duquesne Heights,1524.0,2387.0,19.0,15.0
East Allegheny,1090.0,2095.0,13.0,14.0
East Carnegie,340.0,592.0,4.0,4.0
East Hills,776.0,2716.0,9.0,18.0
East Liberty,2629.0,5282.0,32.0,34.0
Elliott,998.0,2468.0,12.0,16.0
Esplen,163.0,309.0,2.0,2.0
Fairywood,853.0,1121.0,10.0,7.0
Fineview,484.0,1198.0,6.0,8.0
Friendship,1271.0,1801.0,15.0,12.0
Garfield,1257.0,3775.0,15.0,24.0
Glen Hazel,88.0,673.0,1.0,4.0
Greenfield,4373.0,7402.0,53.0,48.0
Hays,173.0,376.0,2.0,2.0
Hazelwood,1569.0,4063.0,19.0,26.0
Highland Park,3523.0,6551.0,43.0,42.0
Homewood North,863.0,3055.0,10.0,20.0
Homewood South,669.0,2189.0,8.0,14.0
Homewood West,316.0,816.0,4.0,5.0
Knoxville,1743.0,3938.0,21.0,25.0
Larimer,348.0,1588.0,4.0,10.0
Lincoln Place,1653.0,3368.0,20.0,22.0
Lincoln Lemington Belmar,1694.0,4854.0,21.0,31.0
Lower Lawrenceville,1472.0,2560.0,18.0,17.0
Manchester,892.0,1923.0,11.0,12.0
Marshall Shadeland,1777.0,5912.0,22.0,38.0
Middle Hill,640.0,1723.0,8.0,11.0
Morningside,1798.0,3136.0,22.0,20.0
Mount Oliver Borough,1214.0,3288.0,15.0,21.0
Mount Washington,4973.0,8525.0,60.0,55.0
Mt. Oliver,277.0,587.0,3.0,4.0
New Homestead,465.0,959.0,6.0,6.0
North Oakland,3291.0,9565.0,40.0,62.0
North Shore,165.0,205.0,2.0,1.0
Northview Heights,232.0,1454.0,3.0,9.0
Oakwood,546.0,1020.0,7.0,7.0
Overbrook,1807.0,3597.0,22.0,23.0
Perry North,2021.0,3645.0,25.0,24.0
Perry South,1175.0,3248.0,14.0,21.0
Point Breeze,3226.0,5218.0,39.0,34.0
Point Breeze North,1069.0,1701.0,13.0,11.0
Polish Hill,934.0,1297.0,11.0,8.0
Regent Square,564.0,1009.0,7.0,7.0
Ridgemont,176.0,277.0,2.0,2.0
Shadyside,8223.0,13290.0,100.0,86.0
Sheraden,2190.0,5397.0,27.0,35.0
South Oakland,1438.0,2910.0,17.0,19.0
South Shore,12.0,12.0,0.0,0.0
South Side Flats,4396.0,6250.0,53.0,40.0
South Side Slopes,2679.0,4573.0,33.0,29.0
Spring Garden,414.0,809.0,5.0,5.0
Spring Hill City View,886.0,2291.0,11.0,15.0
Squirrel Hill North,5537.0,11072.0,67.0,71.0
Squirrel Hill South,7965.0,15510.0,97.0,100.0
St. Clair,106.0,261.0,1.0,2.0
Stanton Heights,2492.0,4561.0,30.0,29.0
Strip District,586.0,740.0,7.0,5.0
Summer Hill,640.0,1127.0,8.0,7.0
Swisshelm Park,656.0,1290.0,8.0,8.0
Terrace Village,748.0,2277.0,9.0,15.0
Troy Hill,1283.0,2225.0,16.0,14.0
Upper Hill,669.0,1877.0,8.0,12.0
Upper Lawrenceville,1518.0,2662.0,18.0,17.0
West End,186.0,235.0,2.0,2.0
West Oakland,656.0,1681.0,8.0,11.0
Westwood,1798.0,3303.0,22.0,21.0
Windgap,695.0,1526.0,8.0,10.0
