Neighborhood,Acres,Total Deaths,Acres Points,Death Points
Allegheny Center,133.719566,46.0,10,72
Allegheny West,92.66835251,8.0,5,87
Allentown,190.07889133,126.0,24,48
Arlington,307.18431056,96.0,51,56
Arlington Heights,81.42957212,17.0,3,83
Banksville,625.67643177,253.0,75,19
Bedford Dwellings,112.43155145,88.0,6,58
Beechview,933.88886667,434.0,84,6
Beltzhoover,265.85583068,125.0,40,49
Bloomfield,449.23559615,394.0,62,8
Bluff,208.16719001,42.0,34,73
Bon Air,201.49147968,51.0,32,71
Brighton Heights,714.89430542,496.0,78,4
Brookline,1336.91504781,750.0,89,2
California Kirkbride,138.8105677,30.0,11,76
Carrick,1068.49913476,678.0,86,3
Central Business District,413.20446531,133.0,60,46
Central Lawrenceville,614.47181156,358.0,73,11
Central Northside,166.19398243,147.0,20,43
Central Oakland,179.22977556,52.0,23,69
Chartiers City,85.76980109,35.0,4,75
Chateau,244.80787848,2.0,37,89
Crafton Heights,480.84267305,187.0,65,33
Crawford Roberts,160.85876719,202.0,17,28
Duquesne Heights,396.51557922,134.0,58,45
East Allegheny,150.34595404,157.0,15,41
East Carnegie,277.41123706,27.0,44,78
East Hills,345.9566702,177.0,54,36
East Liberty,372.08254294,364.0,55,10
Elliott,387.76984567,121.0,56,50
Esplen,147.91525462,16.0,13,84
Fairywood,620.53813973,21.0,74,81
Fineview,159.03317368,58.0,16,67
Friendship,67.96250434,41.0,2,74
Garfield,292.72612537,198.0,47,29
Glen Hazel,292.77636784,131.0,48,47
Greenfield,495.63876528,337.0,66,12
Hays,1116.86260649,24.0,87,80
Hazelwood,1027.3553266,261.0,85,17
Highland Park,748.71045651,213.0,80,25
Homewood North,276.8346875,185.0,43,34
Homewood South,247.77481235,204.0,38,27
Homewood West,124.93008836,66.0,8,65
Knoxville,191.75977734,188.0,26,32
Larimer,284.9177058,174.0,46,38
Lincoln Place,628.18080526,217.0,76,24
Lincoln Lemington Belmar,1163.58474507,389.0,88,9
Lower Lawrenceville,275.16424871,138.0,42,44
Manchester,178.5910782,113.0,22,52
Marshall Shadeland,802.60647233,252.0,83,20
Middle Hill,195.28998606,183.0,28,35
Morningside,239.74901281,161.0,36,40
Mount Washington,724.81969622,476.0,79,5
Mt. Oliver,66.11041005,,1,0
New Homestead,505.58191193,71.0,67,62
North Oakland,318.08128336,279.0,53,14
North Shore,190.09475432,5.0,25,88
Northview Heights,200.83016634,54.0,31,68
Oakwood,161.52497734,82.0,18,61
Overbrook,535.35823494,289.0,68,13
Perry North,774.34430822,205.0,81,26
Perry South,580.06153858,259.0,70,18
Point Breeze,642.17104211,175.0,77,37
Point Breeze North,193.22923916,87.0,27,59
Polish Hill,163.9451111,85.0,19,60
Regent Square,125.58002964,28.0,9,77
Ridgemont,228.89516499,52.0,35,69
Shadyside,588.90301806,406.0,71,7
Sheraden,568.08512413,248.0,69,21
South Oakland,309.73337025,103.0,52,54
South Shore,147.67587999,0.0,12,90
South Side Flats,591.56268818,,72,0
South Side Slopes,462.75848152,,63,0
Spring Garden,170.94593174,67.0,21,63
Spring Hill City View,407.1784424,,59,0
Squirrel Hill North,782.98154712,242.0,82,22
Squirrel Hill South,1713.02741588,802.0,90,1
St. Clair,199.07579887,,29,0
Stanton Heights,472.44089125,278.0,64,15
Strip District,389.24067866,19.0,57,82
Summer Hill,282.81238756,64.0,45,66
Swisshelm Park,303.09736019,67.0,50,63
Terrace Village,207.77195592,99.0,33,55
Troy Hill,294.98507799,,49,0
Upper Hill,200.44088177,191.0,30,30
Upper Lawrenceville,258.49129917,119.0,39,51
West End,124.52211675,14.0,7,85
West Oakland,149.4591782,93.0,14,57
Westwood,441.88379972,173.0,61,39
Windgap,266.83798748,104.0,41,53
Saint Clair,,10.0,0,86
Mount Oliver Neighborhood,,26.0,0,79
Troy Hill/Herr'S Island,,151.0,0,42
Spring Hill Cityview,,189.0,0,31
Southside Slopes,,220.0,0,23
Southside Flats,,277.0,0,16
,,,0,0
*Total Includes Other And Unknown Race.,,,0,0
