Neighborhood,Acres Points,Death Points,Employed Residents Points,K-12 Students Points,Total Points
*Total Includes Other And Unknown Race.,0.0,0.0,,,0.0
Allegheny Center,10.0,72.0,7.0,9.0,98.0
Allegheny West,5.0,87.0,3.0,2.0,97.0
Allentown,24.0,48.0,10.0,16.0,98.0
Arlington,51.0,56.0,12.0,12.0,131.0
Arlington Heights,3.0,83.0,1.0,1.0,88.0
Banksville,75.0,19.0,29.0,24.0,147.0
Bedford Dwellings,6.0,58.0,3.0,8.0,75.0
Beechview,84.0,6.0,49.0,50.0,189.0
Beltzhoover,40.0,49.0,11.0,10.0,110.0
Bloomfield,62.0,8.0,67.0,55.0,192.0
Bluff,34.0,73.0,21.0,41.0,169.0
Bon Air,32.0,71.0,6.0,6.0,115.0
Brighton Heights,78.0,4.0,46.0,46.0,174.0
Brookline,89.0,2.0,84.0,82.0,257.0
California Kirkbride,11.0,76.0,2.0,5.0,94.0
Carrick,86.0,3.0,54.0,63.0,206.0
Central Business District,60.0,46.0,27.0,26.0,159.0
Central Lawrenceville,73.0,11.0,33.0,30.0,147.0
Central Northside,20.0,43.0,19.0,18.0,100.0
Central Oakland,23.0,69.0,36.0,38.0,166.0
Chartiers City,4.0,75.0,3.0,4.0,86.0
Chateau,37.0,89.0,0.0,0.0,126.0
Crafton Heights,65.0,33.0,22.0,24.0,144.0
Crawford Roberts,17.0,28.0,7.0,14.0,66.0
Duquesne Heights,58.0,45.0,19.0,15.0,137.0
East Allegheny,15.0,41.0,13.0,14.0,83.0
East Carnegie,44.0,78.0,4.0,4.0,130.0
East Hills,54.0,36.0,9.0,18.0,117.0
East Liberty,55.0,10.0,32.0,34.0,131.0
Elliott,56.0,50.0,12.0,16.0,134.0
Esplen,13.0,84.0,2.0,2.0,101.0
Fairywood,74.0,81.0,10.0,7.0,172.0
Fineview,16.0,67.0,6.0,8.0,97.0
Friendship,2.0,74.0,15.0,12.0,103.0
Garfield,47.0,29.0,15.0,24.0,115.0
Glen Hazel,48.0,47.0,1.0,4.0,100.0
Greenfield,66.0,12.0,53.0,48.0,179.0
Hays,87.0,80.0,2.0,2.0,171.0
Hazelwood,85.0,17.0,19.0,26.0,147.0
Highland Park,80.0,25.0,43.0,42.0,190.0
Homewood North,43.0,34.0,10.0,20.0,107.0
Homewood South,38.0,27.0,8.0,14.0,87.0
Homewood West,8.0,65.0,4.0,5.0,82.0
Knoxville,26.0,32.0,21.0,25.0,104.0
Larimer,46.0,38.0,4.0,10.0,98.0
Lincoln Lemington Belmar,88.0,9.0,21.0,31.0,149.0
Lincoln Place,76.0,24.0,20.0,22.0,142.0
Lower Lawrenceville,42.0,44.0,18.0,17.0,121.0
Manchester,22.0,52.0,11.0,12.0,97.0
Marshall Shadeland,83.0,20.0,22.0,38.0,163.0
Middle Hill,28.0,35.0,8.0,11.0,82.0
Morningside,36.0,40.0,22.0,20.0,118.0
Mount Oliver Neighborhood,0.0,79.0,,,79.0
Mount Washington,79.0,5.0,60.0,55.0,199.0
Mt. Oliver,1.0,0.0,3.0,4.0,8.0
New Homestead,67.0,62.0,6.0,6.0,141.0
North Oakland,53.0,14.0,40.0,62.0,169.0
North Shore,25.0,88.0,2.0,1.0,116.0
Northview Heights,31.0,68.0,3.0,9.0,111.0
Oakwood,18.0,61.0,7.0,7.0,93.0
Overbrook,68.0,13.0,22.0,23.0,126.0
Perry North,81.0,26.0,25.0,24.0,156.0
Perry South,70.0,18.0,14.0,21.0,123.0
Point Breeze,77.0,37.0,39.0,34.0,187.0
Point Breeze North,27.0,59.0,13.0,11.0,110.0
Polish Hill,19.0,60.0,11.0,8.0,98.0
Regent Square,9.0,77.0,7.0,7.0,100.0
Ridgemont,35.0,69.0,2.0,2.0,108.0
Saint Clair,0.0,86.0,,,86.0
Shadyside,71.0,7.0,100.0,86.0,264.0
Sheraden,69.0,21.0,27.0,35.0,152.0
South Oakland,52.0,54.0,17.0,19.0,142.0
South Shore,12.0,90.0,0.0,0.0,102.0
South Side Flats,72.0,0.0,53.0,40.0,165.0
South Side Slopes,63.0,0.0,33.0,29.0,125.0
Southside Flats,0.0,16.0,,,16.0
Southside Slopes,0.0,23.0,,,23.0
Spring Garden,21.0,63.0,5.0,5.0,94.0
Spring Hill City View,59.0,0.0,11.0,15.0,85.0
Spring Hill Cityview,0.0,31.0,,,31.0
Squirrel Hill North,82.0,22.0,67.0,71.0,242.0
Squirrel Hill South,90.0,1.0,97.0,100.0,288.0
St. Clair,29.0,0.0,1.0,2.0,32.0
Stanton Heights,64.0,15.0,30.0,29.0,138.0
Strip District,57.0,82.0,7.0,5.0,151.0
Summer Hill,45.0,66.0,8.0,7.0,126.0
Swisshelm Park,50.0,63.0,8.0,8.0,129.0
Terrace Village,33.0,55.0,9.0,15.0,112.0
Troy Hill,49.0,0.0,16.0,14.0,79.0
Troy Hill/Herr'S Island,0.0,42.0,,,42.0
Upper Hill,30.0,30.0,8.0,12.0,80.0
Upper Lawrenceville,39.0,51.0,18.0,17.0,125.0
West End,7.0,85.0,2.0,2.0,96.0
West Oakland,14.0,57.0,8.0,11.0,90.0
Westwood,61.0,39.0,22.0,21.0,143.0
Windgap,41.0,53.0,8.0,10.0,112.0
,0.0,0.0,,,0.0
Mount Oliver Borough,,,15.0,21.0,36.0
